episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/rotation_mean,custom_metrics/rotation_min,custom_metrics/rotation_max,custom_metrics/throttle_mean,custom_metrics/throttle_min,custom_metrics/throttle_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/actor_loss,info/learner/default_policy/critic_loss,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
6.428291277969688,-3.615368120743677,1.339538652034057,62.17,58,4488,False,12230128,578952,4011,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-29-16,1579854556,60.063960552215576,240980.82331681252,16324,eigadmin-X299-UD4,171.67.80.66,660.7765417098999,50306,11,7,ee0f3f76,0,-0.020836467,-0.4831997,0.57237315,-0.04715698,-0.48319715,0.37122023,16.445555073948686,1.6766147663213053,2.018097586178966,0.020000000000000018,0.020000000000000018,1992945,509721856,12230128,46.886,15.599,12.636,51.1,20260.35,256.0,23.713461538461537,38.29903846153847,0.03538461538461538,0.9641897940913163,-0.061837576,-1.4548185,0.16689098,1.4165268,5.1768365,-1.9969733
6.428291277969688,-3.615368120743677,1.1086005715901115,60.9,54,4653,False,12234781,579006,4012,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-30-16,1579854616,60.06234550476074,241040.88566231728,16324,eigadmin-X299-UD4,171.67.80.66,720.8388872146606,54959,12,7,ee0f3f76,0,0.0012445259,-0.4875662,0.4013387,-0.02476032,-0.4322311,0.37122023,16.436560571106178,1.6609587599521551,2.020617195025421,0.020000000000000018,0.020000000000000018,1993434,509847040,12234781,46.87,15.551,12.491,52.144,20494.502,256.0,26.63544303797469,38.30000000000002,0.041139240506329104,0.9641897940913158,0.023547594,-1.3455328,0.13809352,1.3133229,5.113835,-0.6487111
5.255560431175021,-3.6627345213204254,0.7302493362903513,62.34,53,4473,False,12239254,579059,4013,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-31-16,1579854676,60.05373430252075,241100.9393966198,16324,eigadmin-X299-UD4,171.67.80.66,780.8926215171814,59432,13,7,ee0f3f76,0,-0.04066835,-0.50055695,0.4886605,-0.01619309,-0.4322311,0.3572881,16.47701658072952,1.64111869920479,2.0206902619225517,0.020000000000000018,0.020000000000000018,1993926,509972992,12239254,34.148,15.753,12.565,51.813,20373.68,256.0,26.545569620253158,38.359493670886074,0.04177215189873418,0.9641897940913158,-0.0016762028,-1.2312459,0.22226338,1.1967125,4.4579363,-0.9273356
4.510707707713843,-3.5841011391251314,0.8844789145155134,61.1,61,4927,False,12244181,579120,4014,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-32-16,1579854736,60.027862548828125,241160.96725916862,16324,eigadmin-X299-UD4,171.67.80.66,840.9204840660095,64359,14,7,ee0f3f76,0,-0.06342551,-0.50425124,0.5312187,-0.011138728,-0.4122145,0.33379412,16.471872021856385,1.6239713354994603,2.012029489941796,0.020000000000000018,0.020000000000000018,1994416,510098432,12244181,34.664,13.383,12.382,52.689,20675.362,256.0,26.982051282051287,38.40128205128205,0.04012820512820512,0.9641897940913159,-0.086322725,-1.0271521,0.12170893,0.99021405,4.8195734,-1.2454486
4.510707707713843,-2.8679130515668763,1.0142160696254205,57.41,59,4709,False,12248890,579179,4015,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-33-16,1579854796,60.056193828582764,241221.0234529972,16324,eigadmin-X299-UD4,171.67.80.66,900.9766778945923,69068,15,7,ee0f3f76,0,-0.016719818,-0.48067313,0.58866996,-0.012166555,-0.4264575,0.3363143,16.5022339142791,1.6186317836904616,2.0123724826277636,0.020000000000000018,0.020000000000000018,1994908,510224384,12248890,44.485,14.995,12.751,53.076,20076.695,256.0,26.64810126582278,38.41772151898734,0.04088607594936708,0.9641897940913158,-0.0055083055,-0.7439487,0.13258444,0.7169682,5.0464053,-1.537106
4.389370736618044,-3.7933390167708723,1.1486562888792156,58.55,57,4508,False,12253398,579236,4016,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-34-16,1579854856,60.014728307724,241281.03818130493,16324,eigadmin-X299-UD4,171.67.80.66,960.9914062023163,73576,16,7,ee0f3f76,0,-0.03303227,-0.5555961,0.58866996,-0.041330792,-0.4812282,0.3363143,16.497039094360655,1.609632357275312,2.010473152133694,0.020000000000000018,0.020000000000000018,1995398,510349824,12253398,33.492,14.836,12.351,53.67,20726.326,256.0,26.394936708860758,38.5,0.037848101265822776,0.9641897940913158,-0.04496036,-0.70369315,0.13132182,0.6657705,5.275189,-2.770008
5.036348925022996,-3.7933390167708723,1.3017067862800922,58.94,54,4519,False,12257917,579290,4017,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-35-16,1579854916,60.02260112762451,241341.06078243256,16324,eigadmin-X299-UD4,171.67.80.66,1021.0140073299408,78095,17,7,ee0f3f76,0,-0.037437394,-0.5555961,0.60408026,-0.055312827,-0.5119801,0.3650899,16.48062657397511,1.5995162087476058,2.004898318890541,0.020000000000000018,0.020000000000000018,1995886,510474752,12257917,33.883,16.005,12.382,50.12,20675.64,256.0,26.401282051282053,38.5,0.041025641025641026,0.9641897940913159,0.04151332,-0.59576106,0.16924313,0.55599743,4.627922,-1.9271665
5.036348925022996,-3.5448623656905762,1.0037128948762497,63.47,56,4390,False,12262307,579346,4018,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-36-16,1579854976,60.08985710144043,241401.150639534,16324,eigadmin-X299-UD4,171.67.80.66,1081.1038644313812,82485,18,7,ee0f3f76,0,0.0041432367,-0.49042326,0.60408026,-0.042222586,-0.5119801,0.3650899,16.475147789729043,1.5963262528154187,2.0085739589313927,0.020000000000000018,0.020000000000000018,1996367,510597888,12262307,40.567,13.936,12.728,52.478,20112.873,256.0,26.42025316455696,38.56075949367088,0.03987341772151898,0.9641897940913158,-0.013619753,-0.5382256,0.112715155,0.49462646,5.0636353,-2.2333212
5.070142055639371,-3.9701332674582073,1.013275361317484,63.39,53,4971,False,12267278,579399,4019,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-37-16,1579855036,60.09580945968628,241461.24644899368,16324,eigadmin-X299-UD4,171.67.80.66,1141.1996738910675,87456,19,7,ee0f3f76,0,0.008566164,-0.46524632,0.51878756,-0.048813626,-0.45121902,0.3420613,16.48623199465392,1.588569601842016,2.0048997818449332,0.020000000000000018,0.020000000000000018,1996856,510723072,12267278,52.455,15.068,12.86,50.449,19906.853,256.0,26.82151898734178,38.599999999999994,0.03886075949367087,0.9641897940913158,-0.057924524,-0.28070045,0.12235381,0.23567411,4.411902,-1.9133999
5.070142055639371,-3.9701332674582073,1.1292444248526925,66.81,49,4683,False,12271961,579448,4020,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-38-16,1579855096,60.099960803985596,241521.34640979767,16324,eigadmin-X299-UD4,171.67.80.66,1201.299634695053,92139,20,7,ee0f3f76,0,0.03428408,-0.42115593,0.48829725,-0.062422056,-0.5078059,0.34914374,16.541941863571324,1.579036978635475,1.9989676175317979,0.020000000000000018,0.020000000000000018,1997346,510848512,12271961,46.885,14.601,12.803,51.713,19995.378,256.0,26.655696202531644,38.637974683544286,0.03645569620253164,0.9641897940913158,-0.014587009,-0.4121455,0.18647546,0.36709505,5.315574,-2.2096267
4.420940961270717,-3.534583902690673,0.8563224492873541,60.72,62,4858,False,12276819,579510,4021,c01253afef6a4a94a70f18d88e800c42,2020-01-24_00-39-43,1579855183,60.04310154914856,241581.38951134682,16324,eigadmin-X299-UD4,171.67.80.66,1261.3427362442017,96997,21,7,ee0f3f76,0,-0.0178939,-0.5660082,0.5558704,-0.04529979,-0.4514379,0.45330095,16.452948956654982,1.5801074272334334,1.9939339618670346,0.020000000000000018,0.020000000000000018,1997829,510972160,12276819,37.412,14.277,11.812,52.717,21672.621,256.0,23.184070796460176,38.699999999999996,0.031327433628318586,0.9641897940913162,-0.062433,-0.20980114,0.20615755,0.1720278,4.903893,-2.6161234
