episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,custom_metrics/rotation_mean,custom_metrics/rotation_min,custom_metrics/rotation_max,custom_metrics/throttle_mean,custom_metrics/throttle_min,custom_metrics/throttle_max,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/min_exploration,info/max_exploration,info/num_target_updates,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/replay_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/opt_samples
2.2005967225727954,-3.762851745209317,-1.794899835620965,26.990384615384617,104,4020,False,4020,104,1,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-12-47,1572945167,60.07783532142639,60.07783532142639,2806,robot-train-4-gpu,10.138.0.45,60.07783532142639,4020,1,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",-0.05377017505032619,-0.40699175000190735,0.29877403378486633,0.048160938419571794,-0.31459519267082214,0.3712479770183563,38.52478002486068,3.31509016670802,1.8910840740107777,1.0,1.0,732,0,4020,64.008,nan,nan,13.473,0.0,nan
0.46413894311013726,-3.7291376872495117,-1.8316325400503022,27.081818181818182,110,3900,False,7920,214,2,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-13-48,1572945228,60.151110887527466,120.22894620895386,2806,robot-train-4-gpu,10.138.0.45,120.22894620895386,7920,2,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",-0.03513481144248296,-0.4547859728336334,0.36971694231033325,0.01894305701716803,-0.41285693645477295,0.40090328454971313,38.90453033249981,3.380099193530928,1.737620361245409,0.6060399999999999,0.6060399999999999,1458,0,7920,81.599,nan,nan,12.168,0.0,nan
2.4107481156523134,-3.6296031893511476,-1.7941182793805464,26.5,91,3393,False,11313,305,3,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-14-48,1572945288,60.027926445007324,180.25687265396118,2806,robot-train-4-gpu,10.138.0.45,180.25687265396118,11313,3,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",-0.024560353782726453,-0.4738321006298065,0.3830012381076813,0.03555896856123582,-0.3821171820163727,0.3792559802532196,38.91856494715925,3.309174043570788,1.6900541852527664,0.22383999999999993,0.22383999999999993,2090,62976,11313,71.678,20.388,9.791,13.193,26147.69,256.0
0.9262805151886397,-4.059256476728869,-1.8358447553397923,27.89,77,2957,False,14270,382,4,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-15-48,1572945348,60.034337282180786,240.29120993614197,2806,robot-train-4-gpu,10.138.0.45,240.29120993614197,14270,4,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.004583294150652364,-0.42146599292755127,0.3030884861946106,0.021659548652824014,-0.38694408535957336,0.3792559802532196,39.06800537405566,3.272626432638838,1.6685336340732169,0.020000000000000018,0.020000000000000018,2630,201216,14270,57.423,19.092,8.97,11.923,28539.733,256.0
0.6947146519224274,-3.884251529506531,-1.7583236131674105,30.92,69,2785,False,17055,451,5,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-16-48,1572945408,60.1022469997406,300.39345693588257,2806,robot-train-4-gpu,10.138.0.45,300.39345693588257,17055,5,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.03660974108614028,-0.3599575459957123,0.3501606285572052,0.017171134096570312,-0.3570626974105835,0.3658558428287506,39.156845591040394,3.2617099703129635,1.6551727247229713,0.020000000000000018,0.020000000000000018,3170,339456,17055,62.961,29.449,9.66,13.29,26499.777,256.0
0.49994708472098615,-3.4444373925789753,-1.7068503256142529,31.54,68,2918,False,19973,519,6,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-17-48,1572945468,60.02270197868347,360.41615891456604,2806,robot-train-4-gpu,10.138.0.45,360.41615891456604,19973,6,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.0012566526257432997,-0.4116317331790924,0.379279762506485,0.045821098485030236,-0.3570626974105835,0.3658558428287506,39.172905483368,3.2357915041420124,1.6427784338677116,0.020000000000000018,0.020000000000000018,3718,479744,19973,64.592,18.379,9.065,11.979,28241.128,256.0
0.695899157504358,-3.4444373925789753,-1.7243726143266174,33.35,59,2902,False,22875,578,7,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-18-48,1572945528,60.0219624042511,420.43812131881714,2806,robot-train-4-gpu,10.138.0.45,420.43812131881714,22875,7,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.015244294919684763,-0.4116317331790924,0.379279762506485,0.014084700627718121,-0.31904929876327515,0.3901505768299103,39.27801585633291,3.1822580113817076,1.6352692770178792,0.020000000000000018,0.020000000000000018,4267,620288,22875,59.212,19.103,10.269,14.218,24929.404,256.0
0.695899157504358,-3.9329063781152884,-1.8381981975415744,34.14,63,2851,False,25726,641,8,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-19-48,1572945588,60.05403780937195,480.4921591281891,2806,robot-train-4-gpu,10.138.0.45,480.4921591281891,25726,8,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.002863267197390087,-0.30638521909713745,0.3431571125984192,-0.020875476531218736,-0.36423707008361816,0.362131804227829,39.32663665500342,3.1182352763957613,1.6305824257300685,0.020000000000000018,0.020000000000000018,4810,759296,25726,75.002,18.602,8.671,11.916,29522.977,256.0
2.5001369190320535,-4.110454666342228,-1.7948093003587413,32.86,69,2918,False,28644,710,9,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-20-48,1572945648,60.01533842086792,540.507497549057,2806,robot-train-4-gpu,10.138.0.45,540.507497549057,28644,9,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.026950587658211587,-0.38609692454338074,0.4193402826786041,-0.010355461731087416,-0.36423707008361816,0.3788427710533142,39.32088846514447,3.110482595971506,1.6246534663128365,0.020000000000000018,0.020000000000000018,5352,898048,28644,69.446,18.818,9.115,12.774,28084.825,256.0
2.5001369190320535,-3.7537625694495365,-1.797566247070418,33.87,66,2851,False,31495,776,10,c01253afef6a4a94a70f18d88e800c42,2019-11-05_09-21-48,1572945708,60.04272484779358,600.5502223968506,2806,robot-train-4-gpu,10.138.0.45,600.5502223968506,31495,10,4,1b51c0e3,"3_buffer_size=2000000,target_network_update_freq=1,train_batch_size=256",0.006596204184461385,-0.4125675857067108,0.4286389946937561,-0.013446830953471363,-0.3787570297718048,0.34187227487564087,39.331167735235816,3.0844065461462606,1.620939815929881,0.020000000000000018,0.020000000000000018,5906,1039872,31495,66.727,17.968,9.801,13.283,26120.529,256.0
